emp_no,first_name,last_name,title,from_date,to_date,dept_name
77303,Xinglin,Birge,Senior Staff,2001-03-05,9999-01-01,Customer Service
77815,Ronghao,Picaronny,Engineer,2002-06-09,9999-01-01,Development
78363,Susumu,Fritzsche,Engineer,1998-06-23,9999-01-01,Quality Management
77647,Niranjan,Schaaf,Technique Leader,1989-11-05,9999-01-01,Production
78106,Ashish,Ratnaker,Senior Staff,1986-11-10,9999-01-01,Marketing
78106,Ashish,Ratnaker,Senior Staff,1986-11-10,9999-01-01,Sales
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,9999-01-01,Development
78469,Leucio,Cappelli,Staff,1997-08-22,9999-01-01,Human Resources
79310,Jeong,Cunliffe,Senior Staff,1996-10-27,9999-01-01,Marketing
79043,Katsuo,Hockney,Technique Leader,1999-11-07,9999-01-01,Production
79895,Fei,Murtagh,Senior Staff,1986-01-19,9999-01-01,Sales
79171,Guiseppe,Ellozy,Senior Engineer,1991-01-12,9999-01-01,Production
79606,Arnd,Peir,Senior Engineer,1986-12-11,9999-01-01,Development
79763,Sanjoy,Barreiro,Senior Staff,1996-04-09,9999-01-01,Marketing
80203,Shakhar,Baik,Staff,1993-12-01,9999-01-01,Sales
80432,Stella,Figueira,Senior Staff,1998-03-14,9999-01-01,Research
80067,Kazuhisa,Weiland,Senior Staff,1991-11-09,9999-01-01,Customer Service
80731,Shaowen,Eldridge,Senior Staff,1994-12-05,9999-01-01,Sales
80889,Shigeo,Linnainmaa,Senior Engineer,1985-07-30,9999-01-01,Development
80948,Harjit,Bardell,Senior Engineer,1996-05-23,9999-01-01,Development
80850,Koldo,Luit,Senior Engineer,2001-04-15,9999-01-01,Production
81644,Divine,Ghandeharizadeh,Staff,1997-11-28,9999-01-01,Sales
81105,Jaewon,Boissier,Senior Engineer,1998-05-24,9999-01-01,Development
81545,Larisa,Kornyak,Technique Leader,1996-03-10,9999-01-01,Development
81545,Larisa,Kornyak,Technique Leader,1996-03-10,9999-01-01,Quality Management
81995,Sreekrishna,Brender,Senior Engineer,1996-03-21,9999-01-01,Development
82069,Yechezkel,Perfilyeva,Senior Engineer,2000-11-02,9999-01-01,Production
82511,Uwe,Koblick,Engineer,1998-04-04,9999-01-01,Development
82098,Poornachandra,Wilharm,Senior Engineer,1998-04-20,9999-01-01,Production
82351,Stevo,Thambidurai,Senior Staff,1989-10-27,9999-01-01,Human Resources
82919,Shigeu,Claffy,Engineer,1998-02-03,9999-01-01,Development
82919,Shigeu,Claffy,Engineer,1998-02-03,9999-01-01,Quality Management
82928,Alselm,Rikino,Senior Engineer,1997-11-16,9999-01-01,Development
83714,Ohad,Kilgore,Senior Engineer,1997-07-01,9999-01-01,Production
83280,Francesca,Ellozy,Senior Engineer,1999-08-08,9999-01-01,Production
83289,Shigeichiro,Engelmann,Senior Engineer,2000-01-09,9999-01-01,Development
83509,Breannda,Collavizza,Senior Engineer,1994-10-12,9999-01-01,Development
83544,Leaf,Baak,Senior Staff,2001-09-05,9999-01-01,Sales
83714,Ohad,Kilgore,Senior Engineer,1997-07-01,9999-01-01,Customer Service
83941,Zsolt,Hagimont,Senior Staff,2001-10-08,9999-01-01,Research
84029,Babette,Eugenio,Staff,1997-09-21,9999-01-01,Customer Service
83805,Manohar,Harllee,Senior Engineer,1987-03-11,9999-01-01,Development
84315,Kristina,Baumann,Assistant Engineer,1996-09-26,9999-01-01,Development
84179,Shuichi,Nanard,Senior Engineer,1989-03-14,9999-01-01,Production
84236,Eberhardt,Barriga,Senior Staff,1993-06-03,9999-01-01,Sales
84840,Sverrir,Neimat,Staff,1996-11-03,9999-01-01,Research
84451,Shiv,Aumann,Senior Engineer,1998-06-14,9999-01-01,Development
84508,Tommaso,Vidya,Engineer,1998-05-02,9999-01-01,Development
85216,Ferdinand,Rosiles,Senior Staff,1997-07-08,9999-01-01,Finance
84922,Parke,Unno,Engineer,1996-07-01,9999-01-01,Development
84942,Shin,Fujisaki,Technique Leader,1988-02-23,9999-01-01,Quality Management
85445,Yongdong,Pollock,Staff,1998-03-17,9999-01-01,Sales
85288,Younwoo,Luders,Senior Engineer,2002-03-31,9999-01-01,Production
85288,Younwoo,Luders,Senior Engineer,2002-03-31,9999-01-01,Quality Management
85702,Udi,Merks,Engineer,1997-08-15,9999-01-01,Quality Management
85414,Chiradeep,Callaway,Staff,1999-07-30,9999-01-01,Finance
85874,Pasqua,Taubman,Senior Staff,1986-06-23,9999-01-01,Customer Service
86213,Kristine,Clemencon,Senior Staff,1996-04-21,9999-01-01,Marketing
86213,Kristine,Clemencon,Senior Staff,1996-04-21,9999-01-01,Sales
86422,Jaewon,Thummel,Senior Staff,1992-09-14,9999-01-01,Marketing
86354,Ronghao,Segond,Senior Engineer,1993-09-13,9999-01-01,Development
86546,Oldrich,Woycyznski,Senior Engineer,1990-05-15,9999-01-01,Production
87129,Keung,Neiman,Staff,1997-04-13,9999-01-01,Sales
86655,Zhenhua,Lorys,Engineer,1995-08-21,9999-01-01,Production
86672,JoAnne,Anido,Staff,1995-09-15,9999-01-01,Research
87353,Quingbo,Coombs,Senior Engineer,1999-01-17,9999-01-01,Development
87714,Khun,Janetzko,Engineer,1998-09-13,9999-01-01,Production
87729,Yongmin,Roccetti,Senior Staff,1991-12-10,9999-01-01,Research
87783,Conor,Thorensen,Senior Engineer,1988-02-24,9999-01-01,Development
88411,Lena,Cannane,Engineer,2000-01-28,9999-01-01,Development
88103,Goo,Bresenham,Senior Staff,1999-01-31,9999-01-01,Sales
88422,Jungsoon,Birsak,Technique Leader,1985-04-03,9999-01-01,Production
88958,Vojin,Coombs,Senior Staff,2002-07-23,9999-01-01,Finance
88647,Vasiliy,Ratnaker,Engineer,1995-08-09,9999-01-01,Development
88965,Mang,Hedayat,Engineer,1995-05-22,9999-01-01,Development
89161,Conal,Yetto,Senior Staff,1999-01-12,9999-01-01,Finance
89048,Otmar,Birjandi,Senior Engineer,1992-03-23,9999-01-01,Development
89207,Along,Erol,Senior Staff,1999-10-17,9999-01-01,Human Resources
89090,Tetsushi,Theuretzbacher,Senior Staff,1995-02-01,9999-01-01,Human Resources
89590,Guther,Rothenberg,Senior Staff,2000-08-07,9999-01-01,Research
89346,Mansur,Comyn,Engineer,1999-08-31,9999-01-01,Development
89664,Pranjal,Rossi,Staff,1998-07-07,9999-01-01,Marketing
89680,Aiman,Mawatari,Senior Engineer,1997-05-01,9999-01-01,Production
89922,Alexius,Ibel,Senior Engineer,1993-04-24,9999-01-01,Production
89806,Xiadong,Shinomoto,Senior Engineer,2002-05-24,9999-01-01,Production
89941,Arnould,Weedman,Senior Staff,1989-07-28,9999-01-01,Marketing
90211,Bader,Denis,Engineer,1997-10-06,9999-01-01,Production
90077,Vivian,Guerreiro,Engineer,1998-07-08,9999-01-01,Development
90084,Renny,Bale,Senior Engineer,1996-11-22,9999-01-01,Production
90518,Fumiko,Chepyzhov,Senior Staff,1997-01-27,9999-01-01,Customer Service
90292,Koichi,Assaf,Senior Engineer,1998-05-26,9999-01-01,Production
90692,Rajmohan,DasSarma,Senior Staff,1990-09-14,9999-01-01,Marketing
91172,Kazuhisa,Melter,Senior Staff,1993-07-15,9999-01-01,Customer Service
90614,Yonghoan,Trogemann,Engineer,1997-09-23,9999-01-01,Production
91182,Lucien,Schwartzburd,Senior Engineer,1994-08-25,9999-01-01,Development
91229,Yahiko,Hebden,Senior Engineer,2001-10-03,9999-01-01,Production
91256,Gunilla,Milicic,Staff,1998-01-09,9999-01-01,Marketing
91415,Jamaludin,Nilsson,Senior Staff,1994-01-15,9999-01-01,Sales
92577,Zhanqiu,Farrow,Assistant Engineer,1999-01-10,9999-01-01,Production
91333,Lobel,Stafford,Staff,1998-11-29,9999-01-01,Sales
91648,Dmitry,Msuda,Senior Staff,1997-10-22,9999-01-01,Marketing
92438,Aria,Kilgore,Senior Engineer,1996-02-28,9999-01-01,Production
92438,Aria,Kilgore,Senior Engineer,1996-02-28,9999-01-01,Customer Service
92454,Visit,McFarlan,Senior Engineer,1996-10-21,9999-01-01,Quality Management
92598,Ranga,Merro,Assistant Engineer,1996-05-11,9999-01-01,Production
92841,Claude,Candan,Senior Staff,1993-08-04,9999-01-01,Sales
92685,Mang,Atchley,Senior Staff,1995-06-07,9999-01-01,Sales
92846,Anyuan,Kropatsch,Senior Staff,1993-09-05,9999-01-01,Marketing
92920,Huei,Hutter,Senior Engineer,2000-01-29,9999-01-01,Development
93220,Richara,Walston,Senior Engineer,1996-08-27,9999-01-01,Quality Management
93040,Jaques,Kabayashi,Senior Engineer,1992-03-13,9999-01-01,Development
93549,Arie,Coullard,Senior Staff,1998-04-15,9999-01-01,Finance
93278,Magdalena,Penn,Senior Engineer,2002-01-04,9999-01-01,Production
93549,Arie,Coullard,Senior Staff,1998-04-15,9999-01-01,Sales
93600,Kristina,Neimat,Technique Leader,1988-04-18,9999-01-01,Production
94416,Aran,Cesareni,Senior Staff,1990-02-10,9999-01-01,Finance
94416,Aran,Cesareni,Senior Staff,1990-02-10,9999-01-01,Sales
94761,Hitofumi,Zaccaria,Senior Engineer,1997-11-22,9999-01-01,Development
94331,Ramzi,Cronau,Technique Leader,1999-09-03,9999-01-01,Production
94944,Heping,Matheson,Senior Engineer,1997-06-24,9999-01-01,Development
95286,Kristin,Guerreiro,Senior Engineer,1997-08-23,9999-01-01,Development
95181,Yishai,Cappelli,Staff,1997-01-30,9999-01-01,Research
95314,Rasiah,Koblick,Senior Staff,1999-08-21,9999-01-01,Sales
95406,Alair,Lyonns,Engineer,1997-07-12,9999-01-01,Development
95416,Gianluca,Ramaiah,Engineer,1993-11-29,9999-01-01,Development
95920,Nobuyoshi,Hegner,Senior Staff,2001-09-07,9999-01-01,Finance
95509,Kristinn,Loncour,Engineer,1995-02-08,9999-01-01,Production
96767,Arumugam,Vecchio,Senior Engineer,1992-08-14,9999-01-01,Production
96571,Kokou,Garrabrants,Senior Engineer,1997-11-05,9999-01-01,Production
97661,Avishai,Hegner,Senior Staff,2002-05-08,9999-01-01,Research
96579,Mohan,Tasistro,Engineer,1996-02-10,9999-01-01,Production
97018,Jeanna,Chinen,Senior Engineer,1994-01-01,9999-01-01,Production
98288,Sumali,Huttel,Senior Staff,1997-09-12,9999-01-01,Research
97623,Haldon,Janetzko,Senior Staff,1996-09-10,9999-01-01,Human Resources
98306,Ziya,Kadhim,Senior Engineer,1995-11-02,9999-01-01,Production
98306,Ziya,Kadhim,Senior Engineer,1995-11-02,9999-01-01,Development
98639,Florina,Assaf,Staff,1996-05-18,9999-01-01,Research
99373,Xiaobin,Christianini,Senior Staff,1991-12-25,9999-01-01,Customer Service
99057,Shugo,Reeken,Staff,1999-06-21,9999-01-01,Customer Service
99377,Carrsten,Francisci,Senior Engineer,1991-06-16,9999-01-01,Development
99654,Mahendra,Motley,Senior Staff,1992-09-28,9999-01-01,Research
100916,Heejo,Aamodt,Senior Engineer,2001-04-22,9999-01-01,Development
99590,Dhritiman,Anily,Staff,1998-12-16,9999-01-01,Sales
100865,Hisao,Peral,Senior Engineer,1998-10-03,9999-01-01,Production
101647,Mori,Homond,Senior Staff,2000-05-09,9999-01-01,Sales
101487,Abdelaziz,Sury,Senior Staff,1999-01-31,9999-01-01,Sales
102620,Adin,Templeman,Engineer,1997-12-10,9999-01-01,Production
101902,Mantis,Millington,Senior Staff,1997-03-17,9999-01-01,Sales
102620,Adin,Templeman,Engineer,1997-12-10,9999-01-01,Quality Management
103196,Djenana,Albarhamtoshy,Senior Staff,1993-07-16,9999-01-01,Human Resources
103310,Visit,Swen,Senior Staff,2000-10-01,9999-01-01,Marketing
103316,Susanne,Peternell,Senior Engineer,1999-07-27,9999-01-01,Development
104988,Parviz,Litzler,Senior Engineer,1999-08-09,9999-01-01,Development
103342,Beshir,Hellwagner,Engineer,1998-02-03,9999-01-01,Quality Management
103756,Heping,Halloran,Engineer,2001-04-08,9999-01-01,Development
104133,Pranjal,Zyda,Senior Staff,1998-07-03,9999-01-01,Sales
104845,Werner,Lodder,Senior Staff,1998-06-17,9999-01-01,Finance
105520,Haldun,Lienhardt,Senior Staff,1987-01-29,9999-01-01,Sales
105731,Sachem,Cromarty,Engineer,1996-08-19,9999-01-01,Development
105342,Kwun,Reeker,Technique Leader,1999-07-29,9999-01-01,Quality Management
105356,Diederik,Matzov,Senior Engineer,1996-05-12,9999-01-01,Development
105356,Diederik,Matzov,Senior Engineer,1996-05-12,9999-01-01,Research
105432,Mohamadou,Stafford,Senior Engineer,2000-09-11,9999-01-01,Development
106242,Nevio,Thisen,Senior Staff,1994-03-25,9999-01-01,Human Resources
106096,Naftali,Schurmann,Senior Engineer,1999-12-03,9999-01-01,Production
107486,Siamak,Luiz,Senior Engineer,1987-02-11,9999-01-01,Development
106695,Lijie,Garrabrants,Senior Staff,1990-10-02,9999-01-01,Development
106695,Lijie,Garrabrants,Senior Staff,1990-10-02,9999-01-01,Research
106710,Babette,Anandan,Senior Staff,1993-11-22,9999-01-01,Marketing
107737,Fabrizio,Chleq,Senior Engineer,1999-07-31,9999-01-01,Development
107792,Shahab,Crooks,Senior Staff,2001-03-18,9999-01-01,Marketing
107828,Ramya,Walston,Senior Staff,1995-02-03,9999-01-01,Sales
108198,Randi,Samarati,Senior Staff,1999-10-21,9999-01-01,Research
108091,Hisao,Ghemri,Senior Staff,1990-11-14,9999-01-01,Customer Service
108988,Oksana,Baek,Senior Staff,1997-07-20,9999-01-01,Sales
108316,Shai,Stellhorn,Senior Engineer,1992-05-21,9999-01-01,Production
109211,Gor,Delgrande,Senior Engineer,2001-11-06,9999-01-01,Development
109062,Jamaludin,Kandlur,Senior Engineer,1992-06-19,9999-01-01,Development
109211,Gor,Delgrande,Senior Engineer,2001-11-06,9999-01-01,Research
109252,Moty,Winter,Technique Leader,1991-04-28,9999-01-01,Production
109278,Bangqing,Schach,Senior Staff,1996-03-22,9999-01-01,Finance
109598,Stamatina,Auyong,Senior Staff,1988-07-05,9999-01-01,Finance
109620,Mani,Cannata,Senior Staff,1995-06-21,9999-01-01,Sales
109703,Arco,Walston,Engineer,1999-08-16,9999-01-01,Production
109552,Menkae,Etalle,Engineer,2002-05-21,9999-01-01,Development
109953,Godehard,Chorvat,Senior Staff,1996-04-10,9999-01-01,Sales
109741,Hatem,Fadgyas,Senior Engineer,1991-11-13,9999-01-01,Production
200267,Chuanti,Luff,Senior Staff,2000-09-20,9999-01-01,Customer Service
201229,Alejandra,Khasidashvili,Staff,1994-07-30,9999-01-01,Human Resources
200312,Akemi,Fujisaki,Senior Engineer,1998-06-25,9999-01-01,Production
200312,Akemi,Fujisaki,Senior Engineer,1998-06-25,9999-01-01,Quality Management
200363,Kirk,Quaggetto,Senior Engineer,1995-06-30,9999-01-01,Development
200735,Dinah,Denos,Senior Staff,2001-09-21,9999-01-01,Marketing
200789,Susumu,Camurati,Senior Staff,1997-12-14,9999-01-01,Marketing
201915,Sudharsan,DeMori,Senior Engineer,1997-03-30,9999-01-01,Production
201708,Anneli,Perl,Senior Staff,2000-09-08,9999-01-01,Human Resources
201709,Fan,Kakkad,Senior Staff,1993-02-24,9999-01-01,Finance
202291,Ortrun,Schmiedel,Engineer,1997-07-18,9999-01-01,Production
201739,Genta,Terekhov,Assistant Engineer,1998-07-21,9999-01-01,Development
201801,Waiman,Genin,Senior Engineer,1995-10-30,9999-01-01,Development
202552,Morris,Saoudi,Senior Engineer,1998-11-22,9999-01-01,Production
202403,Gully,Perko,Engineer,1999-07-07,9999-01-01,Production
203474,Hugh,Jonsson,Senior Staff,1997-07-05,9999-01-01,Sales
202414,Zvonko,Murthy,Senior Staff,1992-01-07,9999-01-01,Customer Service
202826,Kerhong,Matzke,Senior Engineer,1993-11-14,9999-01-01,Development
202882,Isaac,Koshino,Senior Engineer,1995-09-28,9999-01-01,Development
202950,Giordano,Pietrzykowski,Senior Staff,1987-03-26,9999-01-01,Human Resources
203495,Zongyan,Gips,Technique Leader,1997-05-31,9999-01-01,Development
203720,Sasan,Thimonier,Senior Staff,1996-08-21,9999-01-01,Sales
203599,Ewing,DiGiano,Technique Leader,2000-02-01,9999-01-01,Development
204117,Jessie,Nooteboom,Staff,1999-08-13,9999-01-01,Sales
203946,Yefim,Marwedel,Senior Staff,1999-03-30,9999-01-01,Human Resources
204117,Jessie,Nooteboom,Staff,1999-08-13,9999-01-01,Customer Service
204133,Susuma,Bergere,Senior Staff,1996-02-25,9999-01-01,Finance
204246,Arve,Worfolk,Senior Staff,1990-04-01,9999-01-01,Research
204425,Gretta,Huttel,Senior Engineer,1990-10-08,9999-01-01,Development
204764,Susanne,Mandelberg,Senior Engineer,1996-11-01,9999-01-01,Development
204470,Hein,Lichtner,Senior Staff,2001-04-02,9999-01-01,Sales
204470,Hein,Lichtner,Senior Staff,2001-04-02,9999-01-01,Customer Service
204471,Franziska,Maginnis,Senior Engineer,1992-02-17,9999-01-01,Development
205174,Leszek,Spinelli,Staff,1998-12-10,9999-01-01,Marketing
205018,Yahiko,Awdeh,Engineer,1998-08-05,9999-01-01,Quality Management
205627,Stabislas,Broder,Senior Engineer,2001-07-16,9999-01-01,Production
205085,Moni,Kornyak,Technique Leader,1991-09-26,9999-01-01,Development
205500,Mary,Setiz,Senior Engineer,1989-01-13,9999-01-01,Development
205660,Kien,Barreiro,Staff,1997-08-25,9999-01-01,Marketing
205699,Youjian,Yetto,Senior Staff,2000-12-06,9999-01-01,Sales
205660,Kien,Barreiro,Staff,1997-08-25,9999-01-01,Human Resources
205863,Aiichiro,Kusalik,Senior Engineer,1996-10-03,9999-01-01,Quality Management
205789,Limsoon,Skafidas,Senior Staff,1999-08-10,9999-01-01,Finance
206836,Guadalupe,Pfau,Senior Staff,2001-03-22,9999-01-01,Research
207204,Kellie,Schrooten,Engineer,1999-01-17,9999-01-01,Development
206748,Yucai,Fabrizio,Staff,1999-10-06,9999-01-01,Sales
206966,Tzu,Sichman,Senior Engineer,1992-11-16,9999-01-01,Development
207551,Baziley,Falck,Assistant Engineer,1995-02-18,9999-01-01,Development
207021,Jacqueline,Akaboshi,Engineer,1997-12-06,9999-01-01,Production
207068,Zhiguo,Ariola,Senior Staff,1994-09-07,9999-01-01,Marketing
207779,Chinya,Kamble,Senior Staff,1992-05-31,9999-01-01,Research
207401,Shuji,Barbanera,Senior Staff,1993-08-09,9999-01-01,Research
207980,Remko,Vieth,Senior Staff,1999-11-22,9999-01-01,Human Resources
208330,Shen,Flanders,Senior Staff,1997-07-03,9999-01-01,Sales
208147,Manu,Rothenberg,Senior Engineer,1995-12-07,9999-01-01,Development
208639,Larisa,Lukaszewicz,Senior Staff,1994-10-10,9999-01-01,Sales
208639,Larisa,Lukaszewicz,Senior Staff,1994-10-10,9999-01-01,Customer Service
209565,Dante,Covnot,Senior Staff,1998-05-28,9999-01-01,Marketing
208653,Phillip,Schade,Senior Engineer,1998-03-03,9999-01-01,Development
208784,Pranjal,Juneja,Senior Engineer,1985-03-21,9999-01-01,Production
209101,Xinyu,Edelhoff,Senior Engineer,1997-10-26,9999-01-01,Quality Management
209712,Nimmagadda,Baak,Engineer,1995-10-30,9999-01-01,Development
209443,Krassimir,Garnier,Senior Staff,1998-01-26,9999-01-01,Human Resources
210017,Shalesh,Lovengreen,Senior Staff,1996-09-28,9999-01-01,Human Resources
210449,Gino,Lagarias,Engineer,1997-06-22,9999-01-01,Production
210292,Lihong,Zeilberger,Staff,1996-04-28,9999-01-01,Human Resources
210752,Saniya,Stenning,Senior Staff,1991-12-10,9999-01-01,Marketing
210786,Werner,Ranze,Staff,1998-06-05,9999-01-01,Human Resources
211858,Domenico,Ratnaker,Senior Engineer,1993-03-24,9999-01-01,Production
211879,Gao,Ranze,Senior Engineer,1999-11-24,9999-01-01,Development
212093,Leni,Henders,Senior Staff,1999-11-19,9999-01-01,Human Resources
211967,Anwar,Bain,Senior Engineer,1998-01-22,9999-01-01,Development
212154,Sailaja,Holburn,Senior Staff,1997-03-03,9999-01-01,Customer Service
212361,Claudi,Stanfel,Senior Engineer,2001-01-06,9999-01-01,Quality Management
213016,Yongmao,Fontan,Senior Engineer,1998-07-26,9999-01-01,Development
213140,Tru,Danecki,Staff,1997-03-31,9999-01-01,Sales
213384,Pranas,Narwekar,Senior Engineer,1993-09-26,9999-01-01,Development
213447,Armond,Perly,Senior Engineer,1996-09-14,9999-01-01,Production
214391,Rayond,Klassen,Senior Staff,1999-09-11,9999-01-01,Customer Service
214215,Xiaoqiang,Cardazo,Senior Staff,1993-05-28,9999-01-01,Sales
214427,Peer,Molberg,Engineer,1996-11-17,9999-01-01,Production
214539,Ingmar,Kohling,Engineer,1995-04-25,9999-01-01,Development
214789,Arfst,Chepyzhov,Senior Engineer,1997-02-06,9999-01-01,Production
214634,Shirish,Vickson,Senior Engineer,1997-10-24,9999-01-01,Development
214866,Gopalakrishnan,Angel,Senior Engineer,2002-07-05,9999-01-01,Development
215419,Flemming,Kroha,Staff,1995-01-23,9999-01-01,Human Resources
214995,Dinkar,Hoppenstand,Engineer,1994-05-04,9999-01-01,Production
215629,Munehiro,Manders,Senior Staff,1995-05-18,9999-01-01,Customer Service
215746,Sven,Speer,Staff,1999-07-08,9999-01-01,Finance
216054,Sahrah,Angiulli,Senior Staff,1991-07-31,9999-01-01,Research
215843,Pramod,Loncour,Senior Staff,1993-03-30,9999-01-01,Marketing
216342,Aiichiro,Cromarty,Senior Engineer,2000-06-09,9999-01-01,Development
216375,Byong,Gustavson,Senior Engineer,1985-03-12,9999-01-01,Development
216921,Lena,Lenart,Senior Staff,1995-12-25,9999-01-01,Sales
216502,Xiaocheng,Suermann,Engineer,1997-12-15,9999-01-01,Development
216573,Ashish,Vidya,Senior Engineer,1995-06-16,9999-01-01,Production
217026,Otmar,Engberts,Senior Staff,1998-08-16,9999-01-01,Sales
217272,Yuchang,Eldridge,Senior Staff,1991-08-01,9999-01-01,Sales
217080,Masami,Puoti,Senior Engineer,2000-01-21,9999-01-01,Development
217286,Yannik,Spelt,Technique Leader,1992-09-22,9999-01-01,Development
217551,Panayotis,Lukaszewicz,Senior Engineer,1995-06-06,9999-01-01,Production
217320,Abdelwaheb,Denis,Engineer,1993-09-10,9999-01-01,Quality Management
217800,Shay,Servieres,Senior Staff,1998-08-06,9999-01-01,Finance
217363,Horward,Marzano,Staff,1996-04-11,9999-01-01,Customer Service
217387,Jianhao,Molenaar,Senior Engineer,1994-10-22,9999-01-01,Development
218100,Jiong,Garnham,Senior Staff,1999-01-02,9999-01-01,Human Resources
219035,Kristine,Bierman,Technique Leader,1988-05-13,9999-01-01,Quality Management
218022,Mokhtar,Poupard,Technique Leader,1992-02-02,9999-01-01,Development
218831,Unal,DuBourdieux,Engineer,1996-03-13,9999-01-01,Production
219047,Aemilian,Kusalik,Senior Engineer,1995-05-27,9999-01-01,Development
219052,Marsal,Acton,Staff,1995-08-02,9999-01-01,Marketing
219417,Subhrajyoti,Denna,Staff,1996-07-25,9999-01-01,Research
219967,Susanna,Reeken,Senior Staff,1998-03-16,9999-01-01,Human Resources
219497,Moie,Zastre,Technique Leader,1991-10-11,9999-01-01,Development
220418,Poorav,Laventhal,Staff,1997-08-16,9999-01-01,Sales
220029,Demos,Asser,Senior Engineer,1985-11-04,9999-01-01,Development
220131,Reinhard,Slaats,Senior Engineer,1999-06-08,9999-01-01,Development
220611,Yuping,Babb,Senior Staff,2002-01-31,9999-01-01,Sales
220625,Shigenori,Deville,Technique Leader,1992-12-24,9999-01-01,Production
220699,Nahid,Gyimothy,Staff,1995-08-18,9999-01-01,Customer Service
220528,Sibyl,Rabehasaina,Senior Staff,1998-02-23,9999-01-01,Research
220799,Perla,Orlowska,Senior Engineer,1990-12-03,9999-01-01,Development
220582,Poornachandra,Zielinski,Senior Staff,2001-02-12,9999-01-01,Marketing
220799,Perla,Orlowska,Senior Engineer,1990-12-03,9999-01-01,Research
221126,Tesuya,dAstous,Senior Engineer,1995-11-30,9999-01-01,Development
221367,Saddek,Farris,Senior Staff,1990-11-06,9999-01-01,Customer Service
221369,Abdulah,Pocchiola,Engineer,1996-08-28,9999-01-01,Quality Management
221435,Djenana,Marrevee,Senior Engineer,2000-02-06,9999-01-01,Production
221973,Sangeeta,Kalefeld,Senior Staff,1996-06-05,9999-01-01,Marketing
222206,Stein,Uludag,Senior Staff,1995-01-30,9999-01-01,Human Resources
222616,Badri,Schapire,Assistant Engineer,1998-01-19,9999-01-01,Quality Management
222311,Miyeon,Billingsley,Senior Engineer,1992-12-05,9999-01-01,Development
222319,Matt,Chvatal,Senior Engineer,1994-11-09,9999-01-01,Development
222354,Valdiodio,Schlumberger,Engineer,2001-08-07,9999-01-01,Development
222878,Annemarie,Zallocco,Senior Engineer,1996-05-27,9999-01-01,Production
222878,Annemarie,Zallocco,Senior Engineer,1996-05-27,9999-01-01,Development
222926,Limsoon,Erol,Senior Engineer,1997-12-31,9999-01-01,Development
222770,Kazuhiko,Kushner,Senior Engineer,1995-08-01,9999-01-01,Development
222952,Gopalakrishnan,Suermann,Senior Engineer,1998-04-30,9999-01-01,Production
222998,Leaf,Awdeh,Senior Staff,1991-02-20,9999-01-01,Marketing
222998,Leaf,Awdeh,Senior Staff,1991-02-20,9999-01-01,Human Resources
223593,Hidefumi,Moehrke,Staff,1998-03-04,9999-01-01,Marketing
223595,Chiranjit,Dredge,Technique Leader,1999-09-05,9999-01-01,Production
224135,Annemarie,Bressoud,Engineer,1998-06-23,9999-01-01,Development
224335,Perry,Chachaty,Senior Engineer,1992-07-22,9999-01-01,Development
224390,True,Shobatake,Senior Staff,1996-05-17,9999-01-01,Research
224934,George,Miake,Senior Staff,1996-01-02,9999-01-01,Human Resources
225601,Masasuke,Genin,Engineer,1999-06-25,9999-01-01,Development
225438,Remmert,Quaggetto,Senior Staff,1997-04-28,9999-01-01,Sales
225867,Ramalingam,Remmele,Senior Engineer,1999-09-03,9999-01-01,Quality Management
225788,Ipke,Kieras,Engineer,1995-12-18,9999-01-01,Development
225964,Mooi,Cooman,Senior Engineer,1998-06-07,9999-01-01,Production
226216,Giordano,Gini,Technique Leader,1993-08-14,9999-01-01,Quality Management
226227,Herbert,Erva,Senior Engineer,1995-09-06,9999-01-01,Production
227476,Macha,Schnabel,Senior Engineer,1996-05-11,9999-01-01,Development
227354,Gio,Murtha,Senior Engineer,1994-11-11,9999-01-01,Development
227899,Garnik,Luce,Staff,1998-09-15,9999-01-01,Marketing
227681,Mikhail,Rousseau,Staff,1998-11-30,9999-01-01,Finance
227901,Francesca,Azuma,Senior Staff,2001-06-08,9999-01-01,Research
228248,Yuriy,Plump,Senior Staff,1995-09-09,9999-01-01,Research
228098,IEEE,Kroll,Engineer,1997-05-10,9999-01-01,Production
228098,IEEE,Kroll,Engineer,1997-05-10,9999-01-01,Customer Service
228766,Nahla,Smailagic,Senior Engineer,1996-11-21,9999-01-01,Production
228554,Bilhanan,Brendel,Senior Staff,1990-12-23,9999-01-01,Sales
228766,Nahla,Smailagic,Senior Engineer,1996-11-21,9999-01-01,Development
229098,Berry,Yurek,Senior Staff,1995-08-16,9999-01-01,Customer Service
229248,Harjit,Terekhov,Staff,1995-10-19,9999-01-01,Research
229386,Pohua,Tasistro,Technique Leader,1989-06-02,9999-01-01,Production
229220,Fabrizio,Lichtman,Senior Engineer,1992-02-09,9999-01-01,Production
229386,Pohua,Tasistro,Technique Leader,1989-06-02,9999-01-01,Customer Service
229391,Paloma,Henseler,Senior Engineer,1997-06-10,9999-01-01,Production
229547,Moni,Schach,Senior Staff,1991-07-04,9999-01-01,Sales
229404,Gilbert,Kilgour,Staff,1996-04-05,9999-01-01,Human Resources
230126,Bezalel,Radivojevic,Senior Staff,1995-07-03,9999-01-01,Customer Service
229727,Ewing,Millington,Engineer,1999-09-28,9999-01-01,Development
